geometry,id,ID,height_mean,height_min,height_max,Shape_Leng,Shape_Area,BNG_Area
"POLYGON ((-1.18289018516383 52.9109744038452,-1.1829238324611 52.9110354929458,-1.18274143133917 52.9110721747515,-1.18270793316225 52.9110110862444,-1.18289018516383 52.9109744038452))",3932053,0D4F70AF520F27B3E050A00A568A259B,0.347826086957,0.0,2.0,66.5518830947,254.180689653,92.5233630565
"POLYGON ((-1.18306562973194 52.9114499784245,-1.18224099067362 52.9116129493311,-1.1821892548998 52.911517485777,-1.1828519519668 52.9113864830086,-1.18281113431694 52.9113113213564,-1.18297158510488 52.9112795229067,-1.18306562973194 52.9114499784245))",3932054,0D4F70AF521027B3E050A00A568A259B,2.24064171123,0.0,7.0,259.336548069,2065.52045731,751.848702566
"POLYGON ((-1.18061476512408 52.911401468843,-1.18046970247693 52.9114845195145,-1.18039330435526 52.9114354498251,-1.18053909284116 52.9113533037468,-1.18061476512408 52.911401468843))",3932055,0D4F70AF521127B3E050A00A568A259B,4.82608695652,0.0,8.0,69.1500284253,274.340838363,99.8600106273
"POLYGON ((-1.18020083761054 52.9115482878168,-1.18034593529198 52.9114634398155,-1.18042457291364 52.9115120750081,-1.18027946714737 52.9115973725468,-1.18020083761054 52.9115482878168))",3932056,0D4F70AF521227B3E050A00A568A259B,4.88,0.0,8.0,70.1939564201,283.149774928,103.065937112
"POLYGON ((-1.17713538700902 52.9082886898007,-1.17730437269044 52.9083554820725,-1.17724610436778 52.9084094641912,-1.17707638386447 52.9083422180021,-1.17713538700902 52.9082886898007))",3932057,0D4F70AF521327B3E050A00A568A259B,4.70833333333,0.0,8.0,68.8508179601,267.802255729,97.4937782396
"POLYGON ((-1.17751463236589 52.9084805405538,-1.17740857187344 52.9085849824072,-1.17731923801169 52.9085520025359,-1.17742604230917 52.9084475660206,-1.17751463236589 52.9084805405538))",3932058,0D4F70AF521427B3E050A00A568A259B,4.65217391304,0.0,8.0,68.5036219818,263.02870432,95.7552195376
"POLYGON ((-1.1773707312404 52.9086202284488,-1.1772668832985 52.9087255844594,-1.17717754943671 52.9086926046951,-1.17728212411566 52.9085881528076,-1.1773707312404 52.9086202284488))",3932059,0D4F70AF521527B3E050A00A568A259B,4.73913043478,0.0,8.0,68.3094459645,261.429996383,95.1726008853
"POLYGON ((-1.17981554210133 52.9091149063093,-1.17966162026892 52.909037434452,-1.17972869836958 52.9089892651019,-1.17988230848657 52.9090674532488,-1.17981554210133 52.9091149063093))",3932060,0D4F70AF521627B3E050A00A568A259B,4.86956521739,0.0,8.0,67.792377402,258.086870651,93.9537983571
"POLYGON ((-1.17788129861344 52.9094552773303,-1.17771080376237 52.9093893746883,-1.17776985002604 52.9093335995008,-1.17794034397882 52.9093995016859,-1.17788129861344 52.9094552773303))",3932061,0D4F70AF521727B3E050A00A568A259B,3.24,0.0,7.0,69.5156552805,275.356687236,100.239152035
"POLYGON ((-1.17798314510888 52.9094164282261,-1.17815065845155 52.9094827593531,-1.17809162117101 52.9095380852364,-1.17792337300645 52.9094712996638,-1.17798314510888 52.9094164282261))",3932062,0D4F70AF521827B3E050A00A568A259B,3.32,0.0,7.0,68.9930030549,271.313874007,98.7670523924
