helper,shadowed_length,shadowgeom,osm_id,full_length,src_id,dst_id,edgegeom,tags,parsing_direction
false,18.084360382881965,"LINESTRING (-1.18341848218588 52.9078990704899,-1.18328832603075 52.9078934323044,-1.183196490666 52.907902414205,-1.18315265996323 52.9079092687906)",29387157,166.7911068982858,9,669,"LINESTRING (-1.18341848218588 52.9078990704899,-1.18328832603075 52.9078934323044,-1.183196490666 52.907902414205,-1.18294870257833 52.9079411649886,-1.18183428476054 52.9081494067195,-1.18104050698661 52.9083024638787)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Leafield Green"", ""source:name"" => ""survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""Yahoo"", ""maxspeed"" => 50)",-1
false,0.0,,38074710,4.188550939036246,10,866,"LINESTRING (-1.19559348856422 52.908468122478,-1.1955312885193 52.9084665224768)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Holgate"", ""source:name"" => ""OS OpenData Locator;survey;survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""Yahoo"", ""maxspeed"" => 50)",1
false,48.29455963686423,"LINESTRING (-1.19638568088115 52.90822421167,-1.19635854725722 52.9081741125479,-1.19629580419349 52.9081211890665,-1.19619735613881 52.9080974886143,-1.19606268195206 52.9080956006654,-1.19601995855765 52.9080919255309,-1.19591072836725 52.9081303165581,-1.19582696148383 52.9081652100928,-1.19582044028131 52.908170578841)",29350607,100.5556248271294,10,886,"LINESTRING (-1.19555026764298 52.9084213793002,-1.19565914869474 52.9083033657628,-1.19582696148383 52.9081652100928,-1.19591072836725 52.9081303165581,-1.19601995855765 52.9080919255309,-1.19606268195206 52.9080956006654,-1.19619735613881 52.9080974886143,-1.19629580419349 52.9081211890665,-1.19635854725722 52.9081741125479,-1.19646344427789 52.9083677921789,-1.19646747617394 52.9083862913671)","Dict{String, Any}(""lanes:forward"" => missing, ""reverseway"" => false, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""highway"" => ""service"", ""lanes"" => missing, ""maxspeed"" => 50, ""width"" => missing)",-1
false,0.0,,38074710,2.315045201204983,10,891,"LINESTRING (-1.19558769775601 52.9084056234133,-1.19562169773227 52.9084024234156)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Holgate"", ""source:name"" => ""OS OpenData Locator;survey;survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""Yahoo"", ""maxspeed"" => 50)",-1
false,0.0,,702049794,11.222903144312063,11,134,"LINESTRING (-1.1743812 52.9072781,-1.1744465 52.9071853)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""source"" => ""survey"", ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",1
false,0.0,,702049800,10.340527074857041,11,833,"LINESTRING (-1.1743812 52.9072781,-1.1744231 52.9073675)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",-1
false,0.0,,421506579,427.87059263834664,12,81,"LINESTRING (-1.1733909 52.8969914,-1.1732884 52.8969509,-1.173095 52.8970006,-1.1728422 52.8970686,-1.1723775 52.8972085,-1.1722323 52.8972569,-1.1719288 52.897376,-1.1716807 52.8974878,-1.1715058 52.8975636,-1.1711416 52.8977441,-1.1708701 52.8978929,-1.170606 52.8980603,-1.1702666 52.8983217,-1.1701109 52.898455,-1.1699735 52.8985726,-1.1697536 52.8988411,-1.1697083 52.8988968,-1.1691335 52.8996032)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50, ""est_width"" => ""3.5m"")",1
false,0.0,,331871736,6.224334188494527,12,293,"LINESTRING (-1.17337388374047 52.8969616800656,-1.17346128368785 52.896943380078)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => 2, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""cycleway:right"" => ""lane"", ""name"" => ""Farnborough Road"", ""traffic_calming"" => ""table"", ""cycleway:right:width"" => ""1.25"", ""cycleway:left"" => ""lane"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""tertiary"", ""width"" => missing, ""cycleway:left:width"" => ""1.25"", ""lcn"" => ""yes"", ""maxspeed"" => 50)",-1
false,0.0,,895944728,7.590065119945308,12,858,"LINESTRING (-1.17341080228912 52.8970204570182,-1.17330660223138 52.8970465570355)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => 2, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""cycleway:right"" => ""lane"", ""name"" => ""Farnborough Road"", ""traffic_calming"" => ""table"", ""cycleway:right:width"" => ""1.25"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""tertiary"", ""width"" => missing, ""maxspeed"" => 50)",1
false,4.275962091904304,"MULTILINESTRING ((-1.17511887381287 52.9002367369869,-1.17512911921775 52.9002241294534),(-1.17506163535379 52.9003075330216,-1.17507928129431 52.900285616128))",29388109,10.332888731627627,13,1334,"LINESTRING (-1.17506163535379 52.9003075330216,-1.17509307712668 52.9002684811901,-1.17512911921775 52.9002241294534)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Fergus Close"", ""source:name"" => ""survey"", ""lit"" => ""yes"", ""note"" => ""maxspeed not marked, but implicit"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source:maxspeed"" => ""survey"", ""maxspeed"" => 32)",-1
