pointgeom,helper,osm_id,lat,vertex_id,lon
POINT (-1.1953342 52.9012121),false,6341232116,52.9012121,315,-1.1953342
POINT (-1.1817101 52.9116793),false,3037250746,52.9116793,316,-1.1817101
POINT (-1.1970404 52.9040971),false,1191087127,52.9040971,317,-1.1970404
POINT (-1.1938838 52.8961967),false,3714046405,52.8961967,318,-1.1938838
POINT (-1.1947709 52.9052785),false,322861854,52.9052785,319,-1.1947709
POINT (-1.1915495 52.9024255),false,1191222590,52.9024255,320,-1.1915495
POINT (-1.1856942 52.8944448),false,323231859,52.8944448,321,-1.1856942
POINT (-1.1919393 52.8980693),false,8062107332,52.8980693,322,-1.1919393
POINT (-1.1947755 52.9004555),false,324244267,52.9004555,323,-1.1947755
POINT (-1.1860385 52.9051785),false,8933129411,52.9051785,324,-1.1860385
POINT (-1.1898696 52.9071835),false,322854975,52.9071835,325,-1.1898696
POINT (-1.1941527 52.9024275),false,324244436,52.9024275,326,-1.1941527
POINT (-1.1790167 52.9157016),false,933822518,52.9157016,327,-1.1790167
POINT (-1.1939678 52.9074938),false,322854701,52.9074938,328,-1.1939678
POINT (-1.1850989 52.9090758),false,2941956359,52.9090758,329,-1.1850989
POINT (-1.1887346 52.897056),false,323228810,52.897056,330,-1.1887346
POINT (-1.1877923 52.9040896),false,323233231,52.9040896,331,-1.1877923
POINT (-1.1694298 52.9109381),false,3569890775,52.9109381,332,-1.1694298
POINT (-1.1749406 52.9161421),false,321389159,52.9161421,333,-1.1749406
POINT (-1.1892098 52.9055967),false,6695807343,52.9055967,334,-1.1892098
POINT (-1.182023 52.9098547),false,323227646,52.9098547,335,-1.182023
POINT (-1.1742819 52.9149156),false,321389126,52.9149156,336,-1.1742819
POINT (-1.1709347 52.904254),false,324245806,52.904254,337,-1.1709347
POINT (-1.1915053 52.9071254),false,2631101662,52.9071254,338,-1.1915053
POINT (-1.1737201 52.9145811),false,321389141,52.9145811,339,-1.1737201
POINT (-1.1927358 52.8983294),false,3594979645,52.8983294,340,-1.1927358
POINT (-1.1851066 52.9021365),false,2679172832,52.9021365,341,-1.1851066
POINT (-1.1797424 52.9159386),false,1189822259,52.9159386,342,-1.1797424
POINT (-1.1669256 52.9198204),false,6575419546,52.9198204,343,-1.1669256
POINT (-1.1777909 52.9159987),false,322850321,52.9159987,344,-1.1777909
POINT (-1.1832483 52.8968536),false,6501793726,52.8968536,345,-1.1832483
POINT (-1.1887078 52.8970563),false,3719076890,52.8970563,346,-1.1887078
POINT (-1.186823 52.906917),false,6736783763,52.906917,347,-1.186823
POINT (-1.178771 52.9168346),false,322850105,52.9168346,348,-1.178771
POINT (-1.1698367 52.91914),false,457119184,52.91914,349,-1.1698367
POINT (-1.1829273 52.9090294),false,323227345,52.9090294,350,-1.1829273
POINT (-1.1805829 52.9135934),false,322848890,52.9135934,351,-1.1805829
POINT (-1.1793072 52.8937186),false,323230562,52.8937186,352,-1.1793072
POINT (-1.1873995 52.9069181),false,3539246364,52.9069181,353,-1.1873995
POINT (-1.1941904 52.9037878),false,1191087459,52.9037878,354,-1.1941904
POINT (-1.1839582 52.9050119),false,322857337,52.9050119,355,-1.1839582
POINT (-1.169877 52.9093852),false,323237413,52.9093852,356,-1.169877
POINT (-1.1902854 52.8960233),false,447805007,52.8960233,357,-1.1902854
POINT (-1.1837874 52.9067016),false,2235375771,52.9067016,358,-1.1837874
POINT (-1.1772739 52.9155909),false,3559573539,52.9155909,359,-1.1772739
POINT (-1.1766963 52.9163607),false,322849974,52.9163607,360,-1.1766963
POINT (-1.1923155 52.8950833),false,1191222415,52.8950833,361,-1.1923155
POINT (-1.1907929 52.8976536),false,1851694648,52.8976536,362,-1.1907929
POINT (-1.1908163 52.899808),false,324244181,52.899808,363,-1.1908163
POINT (-1.1850578 52.9130801),false,2675918453,52.9130801,364,-1.1850578
POINT (-1.169527 52.9111917),false,8440768260,52.9111917,365,-1.169527
POINT (-1.167376 52.9019653),false,4212655676,52.9019653,366,-1.167376
POINT (-1.1886924 52.9066824),false,3441407585,52.9066824,367,-1.1886924
POINT (-1.1651047 52.9159459),false,1638056125,52.9159459,368,-1.1651047
POINT (-1.1943902 52.9035777),false,1191086492,52.9035777,369,-1.1943902
POINT (-1.1936242 52.9022026),false,324244393,52.9022026,370,-1.1936242
POINT (-1.1963342 52.9056422),false,322861009,52.9056422,371,-1.1963342
POINT (-1.1895433 52.9048061),false,3164556451,52.9048061,372,-1.1895433
POINT (-1.1865845 52.896851),false,3719076880,52.896851,373,-1.1865845
POINT (-1.1788871 52.8993228),false,2291902943,52.8993228,374,-1.1788871
POINT (-1.1943118 52.8994115),false,324245492,52.8994115,375,-1.1943118
POINT (-1.1701266 52.9124773),false,1647511036,52.9124773,376,-1.1701266
POINT (-1.1818545 52.9118931),false,3310059294,52.9118931,377,-1.1818545
POINT (-1.1832083 52.9050068),false,321389111,52.9050068,378,-1.1832083
POINT (-1.1755088 52.9053692),false,2667385179,52.9053692,379,-1.1755088
POINT (-1.1940907 52.8952332),false,3714068415,52.8952332,380,-1.1940907
POINT (-1.1758546 52.9046779),false,2667385004,52.9046779,381,-1.1758546
POINT (-1.1906718 52.8972013),false,3714072429,52.8972013,382,-1.1906718
POINT (-1.1781739 52.902146),false,2994427501,52.902146,383,-1.1781739
POINT (-1.1954834 52.89569),false,3714046374,52.89569,384,-1.1954834
POINT (-1.1900814 52.9047405),false,6695807312,52.9047405,385,-1.1900814
POINT (-1.1871156 52.9113666),false,322843214,52.9113666,386,-1.1871156
POINT (-1.1862121 52.9110067),false,2675917653,52.9110067,387,-1.1862121
POINT (-1.1911882 52.9043319),false,3441407723,52.9043319,388,-1.1911882
POINT (-1.1947202 52.8965302),false,3714010502,52.8965302,389,-1.1947202
POINT (-1.1685714 52.8997463),false,8328260727,52.8997463,390,-1.1685714
POINT (-1.1667262 52.9052376),false,350291186,52.9052376,391,-1.1667262
POINT (-1.1713637 52.9052579),false,2650999908,52.9052579,392,-1.1713637
POINT (-1.1941987 52.9047366),false,322861890,52.9047366,393,-1.1941987
POINT (-1.197502 52.8973873),false,1849955849,52.8973873,394,-1.197502
POINT (-1.1960361 52.9045094),false,322860508,52.9045094,395,-1.1960361
POINT (-1.1899831 52.9047163),false,3726792249,52.9047163,396,-1.1899831
POINT (-1.1744963 52.9071129),false,6592930086,52.9071129,397,-1.1744963
POINT (-1.1922468 52.8990042),false,1191222451,52.8990042,398,-1.1922468
POINT (-1.1697917 52.9113443),false,321389104,52.9113443,399,-1.1697917
POINT (-1.176313 52.915232),false,3559573523,52.915232,400,-1.176313
POINT (-1.1913838 52.9107604),false,1189822403,52.9107604,401,-1.1913838
POINT (-1.1696826 52.9062115),false,323237412,52.9062115,402,-1.1696826
POINT (-1.1964198 52.8938342),false,8655250823,52.8938342,403,-1.1964198
POINT (-1.1941845 52.9057755),false,1191087077,52.9057755,404,-1.1941845
