osm_id,lat,geopoint,vertex_id,end,lon,helper
256633115,52.976378,POINT (-1.1143243 52.976378),23675,false,-1.1143243,
2481289497,52.9713423,POINT (-1.1021585 52.9713423),23676,false,-1.1021585,
427675490,52.9884846,POINT (-1.1253749 52.9884846),23677,false,-1.1253749,
2062489898,52.9987803,POINT (-1.1337972 52.9987803),23678,true,-1.1337972,
1100872181,52.9876546,POINT (-1.2140456 52.9876546),23679,false,-1.2140456,
1830612633,52.99054,POINT (-1.1726255 52.99054),23680,false,-1.1726255,
1191085989,52.9034211,POINT (-1.1972984 52.9034211),23681,true,-1.1972984,
2568377329,52.9497239,POINT (-1.0858032 52.9497239),23682,false,-1.0858032,
1104917783,52.9872064,POINT (-1.2073657 52.9872064),23683,false,-1.2073657,
329999778,52.9644076,POINT (-1.1729014 52.9644076),23684,false,-1.1729014,
4728290098,52.9505342,POINT (-1.1386463 52.9505342),23685,true,-1.1386463,
314454987,52.9701532,POINT (-1.1130977 52.9701532),23686,false,-1.1130977,
1191222109,52.9005664,POINT (-1.1922962 52.9005664),23687,true,-1.1922962,
368007017,52.9479426,POINT (-1.0024562 52.9479426),23688,true,-1.0024562,
321401773,52.8588073,POINT (-1.2010521 52.8588073),23689,true,-1.2010521,
323087982,52.9292556,POINT (-1.1341548 52.9292556),23690,false,-1.1341548,
486032657,52.9097165,POINT (-1.1164324 52.9097165),23691,false,-1.1164324,
734962626,52.9556187,POINT (-1.1991846 52.9556187),23692,false,-1.1991846,
497371287,52.9731541,POINT (-1.1833049 52.9731541),23693,false,-1.1833049,
253471544,52.9607763,POINT (-1.2365419 52.9607763),23694,false,-1.2365419,
216404956,52.9640322,POINT (-1.230345 52.9640322),23695,false,-1.230345,
484514320,52.901101,POINT (-1.1209207 52.901101),23696,false,-1.1209207,
430792828,52.9645144,POINT (-1.1318921 52.9645144),23697,false,-1.1318921,
1153260492,52.9949509,POINT (-1.2003589 52.9949509),23698,true,-1.2003589,
508050651,53.0364446,POINT (-1.0942066 53.0364446),23699,false,-1.0942066,
3442742622,53.0070003,POINT (-1.1459282 53.0070003),23700,true,-1.1459282,
8742597691,52.9828161,POINT (-1.1995497 52.9828161),23701,true,-1.1995497,
530210960,53.0270164,POINT (-1.2286058 53.0270164),23702,false,-1.2286058,
216394708,52.9740184,POINT (-1.2093743 52.9740184),23703,false,-1.2093743,
2201702944,53.0132956,POINT (-1.181846 53.0132956),23704,true,-1.181846,
1479086706,53.0288151,POINT (-1.2310714 53.0288151),23705,false,-1.2310714,
1137738804,52.9131341,POINT (-1.0352876 52.9131341),23706,false,-1.0352876,
2260662105,52.9850853,POINT (-1.1215599 52.9850853),23707,false,-1.1215599,
4701109312,52.9591413,POINT (-1.0975454 52.9591413),23708,true,-1.0975454,
2369488642,52.997249,POINT (-1.1786299 52.997249),23709,true,-1.1786299,
343126204,52.9595442,POINT (-1.1824409 52.9595442),23710,false,-1.1824409,
36486030,52.9309679,POINT (-1.1641389 52.9309679),23711,false,-1.1641389,
1462222978,53.0035695,POINT (-1.1574545 53.0035695),23712,false,-1.1574545,
6356766369,52.9163794,POINT (-1.1487964 52.9163794),23713,true,-1.1487964,
175251872,52.9523422,POINT (-1.1533104 52.9523422),23714,false,-1.1533104,
660481930,52.9526284,POINT (-1.0375036 52.9526284),23715,true,-1.0375036,
332016614,52.9786203,POINT (-1.1893231 52.9786203),23716,false,-1.1893231,
2098714805,52.9250605,POINT (-1.0995298 52.9250605),23717,false,-1.0995298,
9138637188,52.871861,POINT (-1.0993516 52.871861),23718,true,-1.0993516,
348289398,52.9180299,POINT (-1.252148 52.9180299),23719,false,-1.252148,
4462605096,53.0162513,POINT (-1.2258065 53.0162513),23720,false,-1.2258065,
2050172075,53.0336356,POINT (-1.2360624 53.0336356),23721,false,-1.2360624,
2201732394,53.0092801,POINT (-1.1683443 53.0092801),23722,false,-1.1683443,
318368169,52.9302688,POINT (-1.1253721 52.9302688),23723,false,-1.1253721,
323226498,52.9078677,POINT (-1.1834222 52.9078677),23724,false,-1.1834222,
5628960862,52.9249145,POINT (-1.1807756 52.9249145),23725,false,-1.1807756,
1638056154,52.9161569,POINT (-1.1608361 52.9161569),23726,true,-1.1608361,
2075205238,52.993566,POINT (-1.1073975 52.993566),23727,true,-1.1073975,
897590892,52.9517493,POINT (-0.9706118 52.9517493),23728,true,-0.9706118,
268645072,52.9547506,POINT (-1.1649808 52.9547506),23729,true,-1.1649808,
1392746550,52.9509045,POINT (-1.1400648 52.9509045),23730,true,-1.1400648,
490161636,52.9643736,POINT (-1.0710444 52.9643736),23731,false,-1.0710444,
7295203555,52.9041271,POINT (-1.1162119 52.9041271),23732,true,-1.1162119,
2058737247,53.010826,POINT (-1.1129385 53.010826),23733,true,-1.1129385,
2083988104,53.0132271,POINT (-1.1604435 53.0132271),23734,false,-1.1604435,
310237809,52.923894,POINT (-1.113536 52.923894),23735,false,-1.113536,
479524546,52.9092063,POINT (-1.0347532 52.9092063),23736,false,-1.0347532,
905875185,52.9423085,POINT (-1.0410549 52.9423085),23737,true,-1.0410549,
314452535,52.9650734,POINT (-1.1218412 52.9650734),23738,false,-1.1218412,
1555656520,52.9410573,POINT (-1.2599021 52.9410573),23739,true,-1.2599021,
21436922,52.9248752,POINT (-1.2035058 52.9248752),23740,false,-1.2035058,
1584184952,52.925119,POINT (-1.2246162 52.925119),23741,false,-1.2246162,
3441887337,53.0066771,POINT (-1.1620289 53.0066771),23742,false,-1.1620289,
5007940696,52.8963042,POINT (-1.198725 52.8963042),23743,false,-1.198725,
4318249403,52.945016,POINT (-1.1759068 52.945016),23744,false,-1.1759068,
379012217,52.9800684,POINT (-1.0982698 52.9800684),23745,false,-1.0982698,
3678096637,53.0085941,POINT (-1.191681 53.0085941),23746,false,-1.191681,
244442417,52.9322129,POINT (-1.2568498 52.9322129),23747,false,-1.2568498,
7630241567,52.9692417,POINT (-1.1198744 52.9692417),23748,false,-1.1198744,
971024603,53.0097113,POINT (-1.1634009 53.0097113),23749,true,-1.1634009,
4924614716,52.9668968,POINT (-1.1408738 52.9668968),23750,true,-1.1408738,
9393728561,52.9865967,POINT (-1.0873853 52.9865967),23751,false,-1.0873853,
341334709,52.9898054,POINT (-1.1701874 52.9898054),23752,false,-1.1701874,
213729164,52.9618266,POINT (-1.2078669 52.9618266),23753,false,-1.2078669,
331187526,52.8937821,POINT (-1.1523367 52.8937821),23754,false,-1.1523367,
1137737155,52.902951,POINT (-1.033656 52.902951),23755,true,-1.033656,
797655459,52.9625995,POINT (-1.1202168 52.9625995),23756,false,-1.1202168,
1271017231,52.9631111,POINT (-1.1434333 52.9631111),23757,true,-1.1434333,
2083176999,52.9903086,POINT (-1.1228254 52.9903086),23758,true,-1.1228254,
6518841123,52.9547931,POINT (-1.143573 52.9547931),23759,false,-1.143573,
1639988285,52.9511438,POINT (-1.1796269 52.9511438),23760,true,-1.1796269,
2687183146,52.9482429,POINT (-1.2397871 52.9482429),23761,false,-1.2397871,
1462257975,53.0059365,POINT (-1.1522468 53.0059365),23762,false,-1.1522468,
727627558,53.0010842,POINT (-1.2002428 53.0010842),23763,false,-1.2002428,
864492840,52.9476293,POINT (-1.038775 52.9476293),23764,true,-1.038775,
4779912853,52.9496701,POINT (-1.1462449 52.9496701),23765,false,-1.1462449,
559185013,52.979037,POINT (-1.1816301 52.979037),23766,false,-1.1816301,
476536946,52.9229092,POINT (-1.1049536 52.9229092),23767,true,-1.1049536,
8243176553,52.9769411,POINT (-1.0609235 52.9769411),23768,false,-1.0609235,
380362352,52.9648887,POINT (-1.0744909 52.9648887),23769,false,-1.0744909,
489601672,52.9605139,POINT (-1.1749916 52.9605139),23770,false,-1.1749916,
95861112,52.9513552,POINT (-1.1543551 52.9513552),23771,false,-1.1543551,
491639992,52.9175764,POINT (-1.102795 52.9175764),23772,false,-1.102795,
7920686928,53.0104944,POINT (-1.0240582 53.0104944),23773,false,-1.0240582,
99631626,52.9420029,POINT (-1.1473048 52.9420029),23774,false,-1.1473048,
418838574,52.9952649,POINT (-1.2122194 52.9952649),23775,false,-1.2122194,
379128128,52.9602818,POINT (-1.1010315 52.9602818),23776,false,-1.1010315,
796036122,52.9641499,POINT (-1.090668 52.9641499),23777,true,-1.090668,
508057976,53.0347517,POINT (-1.0782764 53.0347517),23778,false,-1.0782764,
2274031089,52.9043278,POINT (-1.244709 52.9043278),23779,true,-1.244709,
2851376265,52.9691298,POINT (-1.23485 52.9691298),23780,true,-1.23485,
311122894,52.9214637,POINT (-1.129046 52.9214637),23781,false,-1.129046,
2486378135,52.9530063,POINT (-1.1369202 52.9530063),23782,false,-1.1369202,
424534576,52.9974694,POINT (-1.104971 52.9974694),23783,true,-1.104971,
4955140088,52.954324,POINT (-1.1595989 52.954324),23784,false,-1.1595989,
1061186904,52.9548524,POINT (-1.1515842 52.9548524),23785,false,-1.1515842,
330156927,52.9780356,POINT (-1.1114597 52.9780356),23786,true,-1.1114597,
249818247,52.930205,POINT (-1.2250436 52.930205),23787,false,-1.2250436,
3500872906,53.0398569,POINT (-1.1927446 53.0398569),23788,false,-1.1927446,
495560846,53.0333491,POINT (-1.0288014 53.0333491),23789,false,-1.0288014,
864505855,52.9472827,POINT (-1.0430499 52.9472827),23790,false,-1.0430499,
478549595,52.981542,POINT (-1.192019 52.981542),23791,false,-1.192019,
1817410953,53.0063498,POINT (-1.2034889 53.0063498),23792,false,-1.2034889,
1360422758,53.0180491,POINT (-1.1877593 53.0180491),23793,false,-1.1877593,
323246296,52.9107445,POINT (-1.1516185 52.9107445),23794,true,-1.1516185,
112077303,52.9259772,POINT (-1.2365051 52.9259772),23795,true,-1.2365051,
2050176622,53.0357113,POINT (-1.2225548 53.0357113),23796,false,-1.2225548,
332016780,52.9781935,POINT (-1.1864161 52.9781935),23797,true,-1.1864161,
778388590,52.918635,POINT (-1.0104962 52.918635),23798,false,-1.0104962,
6819723801,53.0340755,POINT (-1.0585182 53.0340755),23799,false,-1.0585182,
3474852269,52.938814,POINT (-1.1272774 52.938814),23800,false,-1.1272774,
429378839,53.0102754,POINT (-1.0031164 53.0102754),23801,false,-1.0031164,
129960825,52.9383105,POINT (-1.1433077 52.9383105),23802,false,-1.1433077,
1113304753,53.027379,POINT (-1.2029161 53.027379),23803,false,-1.2029161,
9528384333,53.0254257,POINT (-1.19019 53.0254257),23804,false,-1.19019,
2071921065,53.0004209,POINT (-1.1102123 53.0004209),23805,true,-1.1102123,
2205270577,52.9280008,POINT (-1.209197 52.9280008),23806,true,-1.209197,
253844181,52.9687934,POINT (-1.2232024 52.9687934),23807,false,-1.2232024,
5319200798,52.9649123,POINT (-1.1977324 52.9649123),23808,false,-1.1977324,
921598792,52.8940474,POINT (-0.9694547 52.8940474),23809,false,-0.9694547,
3421150705,52.9947214,POINT (-1.0963528 52.9947214),23810,false,-1.0963528,
1035609460,52.9314839,POINT (-1.1058107 52.9314839),23811,false,-1.1058107,
